what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773905743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773907835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773959194
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325773960944
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325773962206
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325773962350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325773966018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773967743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773971395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773974263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325773977674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325774006298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325774011061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325774011366
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325774014882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325774016788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325774023330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325774035612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325774036859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325774451146
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325774452476
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325774452693
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325774452843
