what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1326552539641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326552547581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326552549181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559392708
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1326559394388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559400055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559656415
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1326559659635
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1326559659645
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1326559659665
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1326559659665
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1326559661455
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1326559662375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559670064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559671624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326559672107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326560366436
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1326560368265
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1326560368296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326560369918
error,log,,,"Unhandled event loop exception",1326560369973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326560374821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326560375932
