what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777111830
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1325777111851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777111907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777162744
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325777187136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325777188667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325777189895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325777204670
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325777206074
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1325777208748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777217595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777231912
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325777237450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325777241021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325777243172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325777244644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325777245532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325777246943
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325777247917
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1325777249869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777255035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777270840
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1325777273726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777276549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777282798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325777284418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325777285446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325777286842
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325777287919
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1325777290349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777294873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325777307633
